id,name,description,uri,code,alt_names,collection,vocabulary
role_tlp,Television producer,A producer responsible for most of the business aspects of a television program,http://id.loc.gov/vocabulary/relators/tlp,tlp,"",Other,MARC Code List for Relators Scheme
role_rsg,Restager,"A person or organization, other than the original choreographer or director, responsible for restaging a choreographic or dramatic work and who contributes minimal new content",http://id.loc.gov/vocabulary/relators/rsg,rsg,"","",MARC Code List for Relators Scheme
role_tyd,Type designer,A person or organization who designs the type face used in a particular item,http://id.loc.gov/vocabulary/relators/tyd,tyd,Designer of type,"",MARC Code List for Relators Scheme
role_tyg,Typographer,"A person or organization primarily responsible for choice and arrangement of type used in an item. If the typographer is also responsible for other aspects of the graphic design of a book (e.g., Book designer [bkd]), codes for both functions may be needed",http://id.loc.gov/vocabulary/relators/tyg,tyg,"","",MARC Code List for Relators Scheme
role_srv,Surveyor,"A person, family, or organization contributing to a cartographic resource by providing measurements or dimensional relationships for the geographic area represented",http://id.loc.gov/vocabulary/relators/srv,srv,"",Contributor,MARC Code List for Relators Scheme
role_sad,Scientific advisor,"A person or organization who brings scientific, pedagogical, or historical competence to the conception and realization on a work, particularly in the case of audio-visual items",http://id.loc.gov/vocabulary/relators/sad,sad,"","",MARC Code List for Relators Scheme
role_ptt,Plaintiff-appellant,"A plaintiff who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding",http://id.loc.gov/vocabulary/relators/ptt,ptt,"","",MARC Code List for Relators Scheme
role_sgd,Stage director,A person or organization contributing to a stage resource through the overall management and supervision of a performance,http://id.loc.gov/vocabulary/relators/sgd,sgd,"",Contributor,MARC Code List for Relators Scheme
role_rce,Recording engineer,A person contributing to a resource by supervising the technical aspects of a sound or video recording session,http://id.loc.gov/vocabulary/relators/rce,rce,"",Contributor,MARC Code List for Relators Scheme
role_prp,Production place,"The place of production (e.g., inscription, fabrication, construction, etc.) of a resource in an unpublished form",http://id.loc.gov/vocabulary/relators/prp,prp,"","",MARC Code List for Relators Scheme
role_wac,Writer of added commentary,"A person, family, or organization contributing to an expression of a work by providing an interpretation or critical explanation of the original work",http://id.loc.gov/vocabulary/relators/wac,wac,"",Contributor,MARC Code List for Relators Scheme
